category	group	pg_key	per_chat	type	widget	save_fn	api_route	storage	runtime_consumer	read_fn	status
flags	flags_chat_behavior	flags.chat_dedup_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_dedup_ttl_seconds	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_direct_reply_ttl_days	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_global_context_limit	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_global_context_max_chars	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_global_context_max_tokens	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_global_key_budget_requests	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_global_key_budget_tokens	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_chat_behavior	flags.chat_importance_keep_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_level2_max_chars	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_level2_min_raw_count	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_lock_max_entries	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_lock_wait_seconds	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_map_participants_cap	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_map_participants_hours	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_chat_behavior	flags.chat_mood_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_chat	reactions.chat_mood_negative_words	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_chat	reactions.chat_mood_positive_words	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_rag	limits.chat_rag_dedup_overlap_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_memory	flags.chat_rag_rerank_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_chat_behavior	flags.chat_running_summary_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_running_summary_tail	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_behavior	limits.chat_silence_after_cooldowns	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_chat_behavior	flags.chat_silence_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_behavior	limits.chat_style_anchors_count	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_chat_behavior	flags.chat_style_anchors_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_behavior	limits.chat_style_anchor_max_chars	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_temperature	limits.chat_temperature_balanced	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_temperature	limits.chat_temperature_chatty	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_temperature	limits.chat_temperature_precise	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_temperature	limits.chat_temperature_preset_default	true	str	select	saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_thread_max_chars	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_thread_max_depth	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_thread_max_tokens	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
models	models_checkup	models.checkup_betterstack_sql_host	false	str		saveBlock/saveConfigItem (global:true)	/api/config (global, no X-Chat-Id)	bot_settings	llm_client/llm_probe/status_service/worker_budget (hot.get)	hot.get	OK
keys	keys_betterstack	keys.checkup_betterstack_sql_password	false	str		saveKeyItem/saveBlock	/api/config (global, no X-Chat-Id)	bot_settings	llm_client/llm_probe/status_service (hot.get; BYOK — chat_keys)	hot.get	OK
models	models_checkup	models.checkup_betterstack_sql_query	false	str		saveBlock/saveConfigItem (global:true)	/api/config (global, no X-Chat-Id)	bot_settings	llm_client/llm_probe/status_service/worker_budget (hot.get)	hot.get	OK
models	models_checkup	models.checkup_betterstack_sql_table	false	str		saveBlock/saveConfigItem (global:true)	/api/config (global, no X-Chat-Id)	bot_settings	llm_client/llm_probe/status_service/worker_budget (hot.get)	hot.get	OK
keys	keys_betterstack	keys.checkup_betterstack_sql_user	false	str		saveKeyItem/saveBlock	/api/config (global, no X-Chat-Id)	bot_settings	llm_client/llm_probe/status_service (hot.get; BYOK — chat_keys)	hot.get	OK
limits	limits_checkup	limits.checkup_cooldown_seconds	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_service	flags.checkup_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_checkup	limits.checkup_max_input_symbols	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_checkup	limits.checkup_max_symbols	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_service	flags.checkup_memory_metrics_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_media_permsoc	limits.common_cooldown	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_common	reactions.common_media_base	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_media	flags.common_media_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_media	flags.common_work_media_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_media_permsoc	limits.danger_cooldown	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_common	reactions.danger_words	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_service	flags.db_wal_checkpoint_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_service	limits.db_wal_checkpoint_hours	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_deadpage	limits.dead_page_caption_max_chars	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_deadpage	limits.dead_page_cooldown	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_deadpage	reactions.dead_page_dir	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_deadpage	limits.dead_page_max_forward_retries	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_permsoc_behavior	flags.dead_page_post_on_join	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_deadpage	reactions.dead_page_relay_channel_id	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_deadpage	reactions.dead_page_source_channel_id	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_deadpage	reactions.dead_page_source_channel_username	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_memory	flags.deep_sleep_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.deep_sleep_hour	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.deep_sleep_max_paradigms_per_run	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.deep_sleep_tokens_per_day	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.deep_sleep_top_k	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.deep_sleep_trigger	true	str	select	saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_memory	flags.dig_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.dig_graph_hop_depth	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.dig_max_facts	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.dig_max_snippets	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.dig_max_symbols	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_memory	flags.dig_pre_gate_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.dig_year_back_window_days	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_module_direct	flags.direct_chat_botword_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_media_download	limits.download_cooldown	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_module_media_download	flags.download_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_cluster_overlap_tokens	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_distillations_per_day	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_importance_sum_threshold	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_initial_window_hours	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_max_chats_per_run	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_max_clusters_per_run	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
memory	memory_dream	memory.dream_min_new_facts_per_chat	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	summary_memory/dream_worker/nostalgia (hot.get|get_chat_param)	hot.get|get_chat_param	OK
