internal_key	display_name	description	data_type	current_value	default_value	scope	inheritance	read_api	write_api	validation	permissions	category	group	per_chat	secret	hidden	ui_visibility	widget	storage	runtime_consumer	read_fn	status
db_path	Путь к SQLite-БД	-	str	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
download_dir	Папка скачанных файлов	-	str	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
embedding_fallback_max_retries	Ретраи embed-фоллбэка	-	int	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
embedding_fallback_timeout_seconds	Таймаут embed-фоллбэка, сек	-	float	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
flags.alan_replies_enabled	Reply-блок Лехи	Леха отвечает в ответ на сообщения. Выключено — Леха не отвечает.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_permsoc_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.belief_decay_enabled	Охлаждение убеждений (сон)	Убеждения без свежих подтверждений постепенно теряют вес и уходят в архив, откуда их можно «воскресить». Выключено (дефолт) — убеждения остаются вечными, поведение без изменений.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.bot_self_awareness_enabled	Самоосознание бота	Бот отдельно и критически помнит суть своих ответов. Выключено — бот не запоминает собственные слова и не предупреждается об эхо.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.budgets_enabled	Главный тумблер бюджетов	Один рубильник на все бюджеты — глобально или для выбранного чата. При снятии лимиты не ограничивают и контекст не режется, но статистика расходов продолжает вестись. Дефолт — ВКЛ.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_budgets	true	false	false	visible	-	bot_settings + chat_profiles.chat_params.overrides	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
flags.chat_context_budgets_enabled	Бюджеты контекста direct_chat	Делит контекст на блоки (карта, ветка, память). Выключено — доли не ограничиваются.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	limits_chat_budgets	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_dedup_enabled	Дедуп одинаковых текстов подряд	Бот не отвечает на одинаковые сообщения подряд. Выключено — отвечает на каждое.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_chat_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_importance_keep_enabled	Importance-удержание verbatim при обрезке	Строки Global_Context с важными маркерами (имена, бот, цитаты, числа, вопросы) не режутся первыми. Выключено — ровно старое поведение.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_chat_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_mood_enabled	Определение настроения собеседника	Бот следит за настроением сообщений и подстраивает ответы. Выключено — ответы нейтральные.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_chat_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_rag_rerank_enabled	Пересортировка фактов памяти нейросетью	Факты из памяти для ответа фильтруются дешёвой нейросетью. Выключено — порядок поиска как есть, без лишних вызовов.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_running_summary_enabled	Бегущий конспект	Бот держит краткий конспект длинного разговора. Выключено — контекст только из сообщений.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_chat_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_silence_enabled	Стачка кулдаунов → молчание	После нескольких кулдаунов подряд бот замолкает на время. Выключено — бот отвечает, как только можно.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_chat_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.chat_style_anchors_enabled	Стилевые якоря	Бот запоминает фразы, сказанные вами, и повторяет их стиль. Выключено — стиль не копируется.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_chat_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.checkup_enabled	Модуль Диагностика включён	Мастер-рубильник чекапа/диагностики. Выключено — хендлеры чекапа молчат.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_service	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.checkup_memory_metrics_enabled	Метрики здоровья памяти в чекап	В ежемесячной сводке появится раздел о здоровье памяти. Не нужно — выключи, раздел пропадёт.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_service	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.common_media_enabled	Все common-медиа	Главный рубильник всех медиа-реакций бота. Выключено — гифки/фото не отправляются вообще.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_media	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.common_work_media_enabled	Медиа work-подсервиса	Медиа для запросов вроде «устал». Выключишь — останутся только остальные медиа.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_media	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.db_wal_checkpoint_enabled	Сжатие журнала базы	Технический: периодически ужимает журнал БД. Обычно не трогать.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_service	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.dead_page_post_on_join	Триггер dead page при join	Бот постит dead page при вступлении участника. Выключено — постится только по команде.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_permsoc_behavior	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.deep_sleep_enabled	Глубокий сон: мета-синтез (парадигмы)	Рубильник ежедневного «глубокого сна»: после обычного сна воркер ищет связи между свежими событиями и старой историей и сохраняет выводы (парадигмы) как фоновый слой. Выключено (дефолт) — 0 влияния.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.dig_enabled	dig_into_lore: тул включён	Рубильник инструмента глубокого копания в историю чата (direct_chat). Выключено — модель не может вызвать dig_into_lore (0 добавочных раундов).	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.dig_pre_gate_enabled	dig_into_lore: пре-гейт маркеров ностальгии	При фразе «помнишь/как мы тогда/год назад/в 2024» бот сам копает историю ДО генерации ответа и кладёт результат в <dig_result>. Выключено (дефолт) — dig только по контракту канона (вызов модели).	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.direct_chat_botword_enabled	Триггер «бот»-семьи в чате	Бот отвечает, когда к нему обращаются по имени. Не хочешь — выключи, и обращения останутся без ответа.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_direct	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.download_enabled	Скачивание видео («скачай <ссылка>»)	Команда «скачай <ссылка>» качает видео. Выключишь — команда перестанет работать.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_media_download	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.embed_cache_enabled	Кэш эмбеддингов	Кэширует «отпечатки» текстов — быстрее и дешевле. Выключено — считать каждый раз заново.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.enable_voice_transcription	Транскрипция голосовых	Голосовые превращаются в текст. Выключишь — расшифровка не запустится.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_transcribe	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.factcheck_enabled	Модуль Фактчек включён	Мастер-рубильник проверки фактов. Выключено — бот не отвечает на фактчек-запросы.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_factcheck	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_dedup_enabled	Дедуп фактов при записи	Похожие факты не дублируются в памяти. Выключено — память растёт быстрее и грязнее.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_episode_merge_enabled	Слияние повторяющихся эпизодов	Похожие эпизоды памяти объединяются в один. Выключено — эпизоды копятся отдельно.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_fact_touch_enabled	Продление срока фактов при упоминании	Упоминание факта продлевает ему жизнь. Выключено — срок жизни не продлевается.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_mmr_enabled	Разнообразие фактов из памяти	Ответы по памяти становятся разнообразнее. Выключено — берутся самые похожие факты.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_rag_enabled	Извлечение фактов при архивации	Старые сообщения превращаются в факты для памяти. Выключишь — бот обойдётся кратким сжатием.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_review_enabled	Периодический пересмотр фактов	Бот регулярно пересматривает и чистит память. Выключено — чистка только при архивации.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_time_decay_enabled	Time-decay весов фактов	Старые факты со временем становятся менее важными. Выключено — важность не устаревает.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.graph_user_quota_enabled	Квота памяти на человека	Ограничивает объём памяти на каждого человека. Выключено — память без потолка.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.image_generation_module_enabled	Модуль генерации изображений включён	Бот рисует картинки по просьбе («Бот, нарисуй …») и через инструмент generate_image. Выключено — генерация недоступна, остальные функции работают как раньше.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_images	true	false	false	visible	-	bot_settings + chat_profiles.chat_params.overrides	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
flags.irony_filter_enabled	Ирония: фильтр досье (мемы vs факты)	Воркер досье отделяет шутки и абсурдные титулы от реальных фактов и подаёт их в контекст двумя блоками: [Факты] и [Локальные мемы/Ярлыки]. Выключено (дефолт) — выключает классификацию и блоки досье, но НЕ убирает иронич…	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_relations	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.kostik_enabled	Костик включён	Бот отвечает на сообщения Кости репликами-фразами. Выключишь — Костя замолкает, остальные персоны работают как обычно.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_permsoc	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.llm_cb_enabled	Circuit Breaker direct_chat	«Рубильник» при сбоях нейросети: временно не дёргает её. Выключено — бот пробует всегда.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_service	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.lore_auto_enabled	Лор чатов: авто-генерация	Разрешает авто-прогоны генерации лора по расписанию. Выключено — генерация только вручную («Сгенерировать сейчас»).	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_lore	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.lore_compiler_enabled	Летописец: тул compile_lore_story включён	Рубильник нового инструмента compile_lore_story: бот рассказывает комедийные истории по лору чата («поясни за…», «расскажи историю про…»). Дефолт — ВКЛ. Выключено — модель не может вызвать compile_lore_story, остальные …	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_module_direct	true	false	false	visible	-	bot_settings + chat_profiles.chat_params.overrides	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
flags.lore_inject_enabled	Лор чатов: инжект в контекст	Добавляет блок лора в контекст прямого чата. Выключено — ровно старое поведение (SQLite-легаси).	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_lore	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.lore_worker_enabled	Лор чатов: фоновый воркер	Планирует тик-цикл воркера (обход активных чатов и генерация лора). Выключено — воркер не запускается.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_lore	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags.memory_backup_enabled	Ежедневный бэкап памяти	Раз в сутки бот копирует память в резерв. Выключишь — копий не будет.	bool	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	bool	view: role-matrix; edit: local_admin/global_admin	flags	flags_memory	true	false	false	visible	-	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
